stage,kind,model,noise_level,model_seed,required,status,expected_path
evaluation,baseline,chain_occupancy_logreg,0.0,9550,True,missing,
evaluation,baseline,chain_occupancy_logreg,0.1,9550,True,missing,
evaluation,baseline,chain_occupancy_logreg,0.2,9550,True,missing,
evaluation,baseline,chain_occupancy_logreg,0.3,9550,True,missing,
evaluation,baseline,chain_occupancy_xgb,0.0,9550,True,missing,
evaluation,baseline,chain_occupancy_xgb,0.1,9550,True,missing,
evaluation,baseline,chain_occupancy_xgb,0.2,9550,True,missing,
evaluation,baseline,chain_occupancy_xgb,0.3,9550,True,missing,
evaluation,baseline,lag_pair_logreg,0.0,9550,True,missing,
evaluation,baseline,lag_pair_logreg,0.1,9550,True,missing,
evaluation,baseline,lag_pair_logreg,0.2,9550,True,missing,
evaluation,baseline,lag_pair_logreg,0.3,9550,True,missing,
evaluation,baseline,lag_trigram_logreg,0.0,9550,True,missing,
evaluation,baseline,lag_trigram_logreg,0.1,9550,True,missing,
evaluation,baseline,lag_trigram_logreg,0.2,9550,True,missing,
evaluation,baseline,lag_trigram_logreg,0.3,9550,True,missing,
evaluation,baseline,letter_count_logreg,0.0,9550,True,missing,
evaluation,baseline,letter_count_logreg,0.1,9550,True,missing,
evaluation,baseline,letter_count_logreg,0.2,9550,True,missing,
evaluation,baseline,letter_count_logreg,0.3,9550,True,missing,
evaluation,baseline,occupancy_max_count,0.0,9550,True,missing,
evaluation,baseline,occupancy_max_count,0.1,9550,True,missing,
evaluation,baseline,occupancy_max_count,0.2,9550,True,missing,
evaluation,baseline,occupancy_max_count,0.3,9550,True,missing,
evaluation,baseline,occupancy_max_run,0.0,9550,True,missing,
evaluation,baseline,occupancy_max_run,0.1,9550,True,missing,
evaluation,baseline,occupancy_max_run,0.2,9550,True,missing,
evaluation,baseline,occupancy_max_run,0.3,9550,True,missing,
evaluation,baseline,occupancy_n_chains_ge2,0.0,9550,True,missing,
evaluation,baseline,occupancy_n_chains_ge2,0.1,9550,True,missing,
evaluation,baseline,occupancy_n_chains_ge2,0.2,9550,True,missing,
evaluation,baseline,occupancy_n_chains_ge2,0.3,9550,True,missing,
evaluation,baseline,oracle,0.0,9550,True,missing,
evaluation,baseline,oracle,0.1,9550,True,missing,
evaluation,baseline,oracle,0.2,9550,True,missing,
evaluation,baseline,oracle,0.3,9550,True,missing,
evaluation,baseline,position_lag_pair_logreg,0.0,9550,True,missing,
evaluation,baseline,position_lag_pair_logreg,0.1,9550,True,missing,
evaluation,baseline,position_lag_pair_logreg,0.2,9550,True,missing,
evaluation,baseline,position_lag_pair_logreg,0.3,9550,True,missing,
evaluation,hf,bert_lora,0.0,9950,True,completed,
evaluation,hf,bert_lora,0.3,9950,True,completed,
evaluation,hf,llama_lora,0.0,9950,True,completed,
evaluation,hf,llama_lora,0.3,9950,True,completed,
evaluation,random_control,random_untrained_LSTM,0.0,9550,True,missing,
evaluation,random_control,random_untrained_LSTM,0.0,9551,True,missing,
evaluation,random_control,random_untrained_LSTM,0.0,9552,True,missing,
evaluation,random_control,random_untrained_LSTM,0.1,9550,True,missing,
evaluation,random_control,random_untrained_LSTM,0.1,9551,True,missing,
evaluation,random_control,random_untrained_LSTM,0.1,9552,True,missing,
evaluation,random_control,random_untrained_LSTM,0.2,9550,True,missing,
evaluation,random_control,random_untrained_LSTM,0.2,9551,True,missing,
evaluation,random_control,random_untrained_LSTM,0.2,9552,True,missing,
evaluation,random_control,random_untrained_LSTM,0.3,9550,True,missing,
evaluation,random_control,random_untrained_LSTM,0.3,9551,True,missing,
evaluation,random_control,random_untrained_LSTM,0.3,9552,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.0,9550,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.0,9551,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.0,9552,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.1,9550,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.1,9551,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.1,9552,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.2,9550,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.2,9551,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.2,9552,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.3,9550,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.3,9551,True,missing,
evaluation,random_control,random_untrained_RNNTransformer,0.3,9552,True,missing,
evaluation,random_control,random_untrained_Transformer,0.0,9550,True,missing,
evaluation,random_control,random_untrained_Transformer,0.0,9551,True,missing,
evaluation,random_control,random_untrained_Transformer,0.0,9552,True,missing,
evaluation,random_control,random_untrained_Transformer,0.1,9550,True,missing,
evaluation,random_control,random_untrained_Transformer,0.1,9551,True,missing,
evaluation,random_control,random_untrained_Transformer,0.1,9552,True,missing,
evaluation,random_control,random_untrained_Transformer,0.2,9550,True,missing,
evaluation,random_control,random_untrained_Transformer,0.2,9551,True,missing,
evaluation,random_control,random_untrained_Transformer,0.2,9552,True,missing,
evaluation,random_control,random_untrained_Transformer,0.3,9550,True,missing,
evaluation,random_control,random_untrained_Transformer,0.3,9551,True,missing,
evaluation,random_control,random_untrained_Transformer,0.3,9552,True,missing,
evaluation,scratch,LSTM,0.0,9550,True,missing,
evaluation,scratch,LSTM,0.0,9551,True,missing,
evaluation,scratch,LSTM,0.0,9552,True,missing,
evaluation,scratch,LSTM,0.1,9550,True,missing,
evaluation,scratch,LSTM,0.1,9551,True,missing,
evaluation,scratch,LSTM,0.1,9552,True,missing,
evaluation,scratch,LSTM,0.2,9550,True,missing,
evaluation,scratch,LSTM,0.2,9551,True,missing,
evaluation,scratch,LSTM,0.2,9552,True,missing,
evaluation,scratch,LSTM,0.3,9550,True,missing,
evaluation,scratch,LSTM,0.3,9551,True,missing,
evaluation,scratch,LSTM,0.3,9552,True,missing,
evaluation,scratch,RNNTransformer,0.0,9550,True,missing,
evaluation,scratch,RNNTransformer,0.0,9551,True,missing,
evaluation,scratch,RNNTransformer,0.0,9552,True,missing,
evaluation,scratch,RNNTransformer,0.1,9550,True,missing,
evaluation,scratch,RNNTransformer,0.1,9551,True,missing,
evaluation,scratch,RNNTransformer,0.1,9552,True,missing,
evaluation,scratch,RNNTransformer,0.2,9550,True,missing,
evaluation,scratch,RNNTransformer,0.2,9551,True,missing,
evaluation,scratch,RNNTransformer,0.2,9552,True,missing,
